t_id,t_name,t_salary
1,Maurizio,18898.52
2,Halette,4448.06
3,Ninnetta,8048.73
4,Clo,13805.13
5,Berty,906.26
6,Jilly,814.32
7,Tersina,6142.27
8,Cobb,3998.1
9,Andris,9575.96
10,Vallie,6578.61
11,Gerri,8980.17
12,Page,2550.17
13,Budd,2442.18
14,Jacinthe,1534.49
15,Kendall,17406.21
16,Madison,7072.78
17,Dorelia,22385.83
18,Grata,2310.82
19,Pearl,290.97
20,Daisie,11710.96
21,Ambrosio,10651.29
22,Spense,3630.83
23,Vida,16680.16
24,Otto,16118.96
25,Essa,11440.71
26,Dorrie,135.46
27,Elsa,17375.67
28,Auguste,4332.77
29,Raddie,3150.89
30,Esta,3550.16
31,Lew,8621.67
32,Mandel,17603.47
33,Lucien,2985.78
34,Nolan,23352.52
35,Dorie,11291.83
36,Rebekah,1286.1
37,Arri,12872.33
38,Giacinta,877.28
39,Elfie,2299.63
40,Saw,3485.46
41,Wang,915.84
42,Charla,12558.66
43,Hendrik,23269.92
44,Luella,2169.44
45,Lionello,756.98
46,Alyson,8537.29
47,Corrie,1368.91
48,Ingmar,3899.08
49,Joyce,4267.82
50,Pattie,4838.24
51,Emmett,712.64
52,Rebeka,2196.94
53,Jedediah,10587.1
54,Ian,16383.08
55,Hermina,8407.9
56,Noam,5566.01
57,Rubina,4069.04
58,Sindee,20304.38
59,Gale,966.67
60,Carlie,30762.34
61,Gan,4086.11
62,Craig,2991.04
63,Austin,20720.02
64,Mendy,6567.3
65,Durand,3410.4
66,Marshal,2810.22
67,Anastasia,42061.55
68,Marilee,14622.21
69,Yulma,9276.82
70,Beckie,17536.78
71,Robbert,17167.4
72,Mord,12203.09
73,Roselin,9717.31
74,Krysta,17022.89
75,Laryssa,10960.01
76,Rancell,2921.09
77,Verina,16518.18
78,Friedrick,4054.5
79,Zitella,15184.93
80,Annora,2942.24
81,Kacy,3617.67
82,Adolph,14001.98
83,Magdalen,20871.39
84,Kandace,13610.25
85,Gavin,232.79
86,Adi,4410.66
87,Torrie,16881.04
88,Torrey,14342.33
89,Shelden,230.68
90,Lanie,18987.47
91,Jackie,1112.06
92,Jorey,13279.75
93,Garrik,1256.14
94,Aggi,22081.67
95,Phillipe,9073.86
96,Elnora,4933.3
97,Amitie,1788.02
98,Sileas,9584.89
99,Stan,6878.47
100,Ric,1314.94
101,Agustin,3844.45
102,Hasheem,15120.46
103,Rory,18032.82
104,Darwin,2314.59
105,Humphrey,13338.61
106,Blane,11197.38
107,Holly,7343.43
108,Goldina,11883.52
109,Lamont,9705.23
110,Jeanette,919.99
111,Cristy,10956.98
112,Grant,8491.59
113,Free,2369.32
114,Clementia,17371.99
115,Emory,1748.66
116,Marrilee,5323.22
117,Basilius,4585.37
118,Town,4878.59
119,Bethina,6477.47
120,Lazare,6224.45
121,Ashbey,275.74
122,Johny,728.64
123,Ezekiel,767.96
124,Kirbee,16583.34
125,Gene,2533.8
126,Ferne,6470.6
127,Teodor,9922.79
128,Louis,23426.79
129,Sephira,11577.21
130,Allayne,20548.6
131,Maxim,2979.11
132,Davon,6702.69
133,Nigel,10570.5
134,Elvera,970.07
135,Heath,34712.71
136,Donny,6890.66
137,Kristina,6760.27
138,Charmion,2329.94
139,Madelena,3539.01
140,Arlyne,5649.9
141,Haily,30935.34
142,Jereme,6576.78
143,Druci,16213.45
144,Cele,1077.47
145,Violette,13429.13
146,Ulberto,2165.35
147,Gabrila,6968.1
148,Erica,7155.99
149,Oswald,3737.6
150,Bren,34710.55
151,Lorant,19516.97
152,Gus,2270.25
153,Alf,4213.54
154,Claudie,3058.09
155,Benji,3995.39
156,Geralda,8705.01
157,Witty,14362.77
158,Alfons,22077.29
159,Tess,37472.24
160,Brantley,11489.82
161,Darcie,15788.79
162,Carter,28184.45
163,Giacopo,1463.44
164,Stern,20186.68
165,Klarrisa,192.69
166,Kaylyn,37915.11
167,Dilly,1614.81
168,Trix,1547.89
169,Olenka,1042.54
170,Kira,5989.09
171,Aurie,6603.36
172,Ced,4993.79
173,Cirilo,6755.25
174,Pansy,7982.53
175,Amble,3063.64
176,Gaylor,14134.35
177,Ivie,17478.45
178,Shelton,1404.92
179,Amity,3277.18
180,Malinde,4093.84
181,Misha,1015.9
182,Camellia,11127.67
183,Iormina,32057.53
184,Shelley,14034.87
185,Sterne,9825.51
186,Teodorico,17971.03
187,Farleigh,7719.06
188,Kippar,771.12
189,Gianni,280.93
190,Rafael,13119.5
191,Bert,4079.23
192,Chelsy,7449.54
193,Kinny,8702.05
194,Bay,43601.91
195,Brock,3584.67
196,Murvyn,22117.56
197,Ricca,4744.26
198,Earle,862.4
199,Filia,14483.44
200,Hatty,11550.26
201,Demetra,3118.0
202,Laural,644.91
203,Sashenka,637.1
204,Mark,9651.09
205,Crista,12621.48
206,Galina,9628.89
207,Wolfy,6126.36
208,Griff,20225.61
209,Luci,3215.61
210,Vaughan,17974.18
211,Roxane,27457.13
212,Pen,2857.76
213,Arielle,6302.74
214,Marinna,10890.87
215,Faye,3571.5
216,Sarine,1065.65
217,Daffy,2854.1
218,Darill,18974.44
219,Winifield,19804.25
220,Jamesy,318.95
221,Hirsch,7292.42
222,Pauline,4710.0
223,Stu,14411.49
224,Morly,17889.2
225,Enrichetta,2584.58
226,Francklyn,5739.61
227,Devlen,4811.79
228,Francene,24671.91
229,Herminia,8216.22
230,Gib,11243.13
231,Donella,17295.76
232,Cyrill,3024.05
233,Sibby,37158.87
234,Hastings,5475.35
235,Imogene,1906.16
236,Carlen,4292.43
237,Jessica,1448.55
238,Isaac,465.46
239,Son,3787.3
240,Weston,10349.11
241,Tymon,5328.42
242,Brose,291.04
243,Garrard,7773.02
244,Devonne,8103.88
245,Barbe,2699.44
246,Reade,22355.33
247,Xever,37717.36
248,Morie,14970.39
249,Bev,5123.97
250,Vita,10508.62
251,Vanya,2386.11
252,Kylila,2962.37
253,Elonore,30073.11
254,Hanson,2661.9
255,Murvyn,13275.43
256,Vance,30650.78
257,Howard,30255.65
258,Lizbeth,2898.45
259,Callean,2758.21
260,Jobye,4482.45
261,Ellynn,13567.88
262,Happy,2245.94
263,Ive,11061.81
264,Foster,2917.13
265,Guillemette,4804.97
266,Devora,15237.23
267,Stephanus,15826.03
268,Demetrius,2095.65
269,Wright,1579.46
270,Richmound,1230.6
271,Ginny,3505.51
272,Kelila,7222.18
273,Hedvige,20461.81
274,Baudoin,9193.52
275,Bethina,450.16
276,Lou,14796.34
277,Almeria,5132.33
278,Krystle,18543.02
279,Isadore,10416.23
280,Nathaniel,4605.99
281,Windy,3539.02
282,Ferdinanda,1604.05
283,Karalynn,30980.61
284,Shelley,8813.89
285,Maurise,20648.16
286,Lorant,1969.92
287,Tomkin,9919.29
288,Amabelle,32551.03
289,Ara,4044.21
